ID,Age,Income,Gender,Married
71,61,155918.06951887667,1,0
72,48,125874.3878029808,0,0
73,48,97954.33318657416,0,1
74,65,172972.77377777037,1,0
75,43,98319.55831090325,1,0
76,43,90262.57879367477,1,1
77,26,35082.932934696146,0,0
78,20,16792.453773209767,1,0
79,45,101206.16940934422,0,0
80,28,57490.23217131759,1,1
81,60,143055.00253643884,1,1
82,27,36948.16890098839,1,0
83,35,59237.514636184766,1,0
84,33,67556.99253277421,0,1
85,29,48016.61189129196,0,0
86,51,119267.5802547272,0,0
87,61,136591.5554162607,0,0
88,35,67107.84146403061,1,0
89,26,36297.36884486655,1,0
90,56,129911.41415646691,0,1
91,53,132279.56389680543,1,1
92,43,77638.58770109926,1,1
93,62,158296.95380922352,0,0
94,40,97413.0912746975,1,1
95,38,76037.7990915023,1,1
96,21,26525.19499832811,1,1
97,44,97803.09155832873,0,1
98,18,24756.008895476505,1,0
99,44,109189.50373063907,1,0
100,48,92870.70519578917,0,0
101,42,112510.08475814169,0,1
102,25,37146.32614416716,0,0
103,37,65951.01220013812,0,0
104,37,63086.11809032141,1,1
105,26,43130.09232359016,0,0
106,25,30589.68153733662,0,0
107,24,48444.051638008226,0,0
108,58,129144.52402319579,1,0
109,44,93398.81426943542,1,1
110,31,57667.86673666523,1,0
111,22,29082.33947474961,1,0
112,21,29068.735398770874,1,0
113,48,114329.59159163176,1,0
114,38,91360.94299129893,0,1
115,48,94848.38201781624,0,0
116,19,27769.993004024247,1,1
117,58,131022.6516354172,1,0
118,47,111005.58930166956,0,1
119,57,129491.85156778766,1,0
120,32,60655.293052423534,1,1
121,47,123460.31867052602,0,0
122,39,83144.81825907057,0,1
123,39,80785.02854694573,0,1
124,31,57048.18749265191,0,1
125,42,92789.89463795432,0,0
126,20,45884.66896505216,1,0
127,39,86510.6325041108,0,0
128,22,39494.41915740167,0,0
129,43,95584.56693588052,1,1
130,18,7153.229328933136,1,1
131,49,94726.26174331486,1,1
132,19,29008.847641839333,0,1
133,43,88216.22422151545,0,0
134,56,152316.86246093892,0,0
135,21,32736.811224951485,1,1
136,24,35140.399760864246,1,1
137,38,91244.64603644692,1,1
138,27,64599.62227799908,1,1
139,65,166618.21830087077,1,1
140,49,110747.40691774253,0,1
141,21,40233.63628021226,1,0
142,18,30780.62416964936,1,0
143,60,153588.41876229367,0,0
144,19,27733.20034555033,1,1
145,60,130972.56682245014,1,1
146,51,134642.63673576163,1,0
147,47,94238.76703900727,1,1
148,38,86532.61119942994,0,1
149,36,84761.09811984585,0,1
150,40,82075.78183878257,0,1
151,46,114853.70048434957,0,0
152,41,105346.83121898412,0,1
153,19,42080.97473816841,1,1
154,18,1508.8623751726009,1,0
155,41,75287.44351376171,1,1
156,39,82107.65833106475,1,0
157,34,68925.51081750284,1,0
158,40,98690.23266149999,0,0
159,42,95530.43587886484,0,0
160,64,154152.56528933937,0,0
161,33,73973.07420612076,1,1
162,57,163789.31836031406,0,0
163,32,59222.897564505016,1,0
164,26,42412.91646067418,0,1
165,64,164498.79628121742,0,1
166,61,154122.77694944871,0,0
167,18,28957.115282617036,0,0
168,48,111523.81340004312,0,1
169,27,41923.85799800187,0,1
170,62,160053.8616678184,1,1
171,30,47054.92694495443,1,1
172,58,139374.51765807727,0,0
173,49,135956.89928347108,0,1
174,52,123578.74965073742,1,0
175,59,131278.0539849372,1,0
176,27,35009.66290151437,0,0
177,31,60622.48840665464,1,1
178,36,70990.45373669152,1,0
179,25,50252.88107896027,0,0
180,38,74650.12593109396,1,0
181,53,129134.49398183031,0,0
182,41,83887.59248437152,1,0
183,33,73905.05448316992,0,0
184,33,63261.37933868912,0,0
185,62,135516.31234561795,1,0
186,40,92173.22104635302,1,1
187,51,132479.12498224783,1,0
188,40,79782.303304701,0,1
189,52,123978.71917988708,1,0
190,57,131848.95967052825,1,1
191,61,152937.90181964426,0,1
192,18,12806.447278017291,1,1
193,42,100862.29214593631,0,1
194,60,129366.54521507604,0,0
195,57,122159.08920252886,0,1
196,47,91146.18124707171,0,0
197,20,23906.715485522163,1,0
198,42,83838.29726411821,0,1
199,61,147472.61431253314,0,0
200,57,142648.5989178763,0,1
201,41,77880.7090020784,0,0
202,30,63485.35338110864,1,0
203,61,153688.4711127732,1,1
204,51,121953.84001484231,0,0
205,44,109840.40977010364,0,1
206,40,78546.29057691585,1,0
207,21,30387.76147373771,1,1
208,59,140462.42101125498,1,0
209,45,84374.68202000952,0,0
210,64,152819.62286995866,0,0
211,27,42234.95421343837,1,1
212,38,93592.7890138038,0,0
213,20,33305.75755846668,0,0
214,32,56888.162346819896,0,1
215,41,92050.57934751587,1,1
216,64,156237.83259141113,1,1
217,18,24622.969617047274,1,0
218,32,64889.268379268855,1,1
219,25,30349.041856011056,0,1
220,29,65115.60718781105,1,0
221,44,103252.04255853266,1,1
222,62,142784.8247162709,0,0
223,45,115733.23883975958,1,1
224,31,65572.4941630708,0,1
225,45,98568.85475135421,1,1
226,25,26798.970097436235,0,0
227,39,65284.72823219668,0,1
228,47,106865.12299445138,0,0
229,18,16643.29468348829,1,0
230,27,37299.929590424996,1,1
231,33,73624.0279842188,0,0
232,40,87525.37324061751,0,1
233,22,29790.245461067767,1,1
234,23,31701.999633355546,1,1
235,56,136185.3019702469,1,1
236,25,56286.69403895121,1,1
237,40,94030.37036338961,1,0
238,53,120264.46631622766,1,0
239,28,52057.103921341026,0,1
240,40,78923.86469358442,0,1
241,29,48634.10899930511,1,1
242,19,7492.744883414467,0,0
243,19,26979.004172222656,0,1
244,22,41035.74346347224,1,1
245,18,12489.632372016025,1,1
246,36,84913.10596447105,0,1
247,21,28975.73267383554,1,1
248,41,89630.3273393202,1,1
249,46,111967.62219986223,0,1
250,56,147025.2484653253,0,1
251,43,110075.3563411036,1,0
252,28,47968.022481108725,0,0
253,57,139782.2563271026,1,0
254,25,53932.38196507749,1,1
255,44,112710.14915510279,1,1
256,43,107823.28877685204,0,1
257,50,132116.61607650347,1,0
258,20,14107.79791119641,1,1
259,18,15442.102811200868,1,0
260,47,97770.56654350851,1,1
261,59,148440.41108322167,0,0
262,29,50040.348410171224,0,0
263,59,149658.58510879072,1,1
264,37,80637.5417031974,0,0
265,52,138435.2553494851,0,1
266,25,51377.527919285385,1,0
267,44,111218.78391842546,0,1
268,61,167377.03871378466,0,1
269,65,166519.5304564638,0,1
270,21,22751.481489846985,0,0
271,34,76765.53320270756,1,1
272,47,104744.579594738,1,0
273,38,77774.470439162,0,0
274,29,62728.135839299546,1,1
275,22,26105.642827538733,1,1
276,62,155203.68309561335,0,0
277,55,103971.37456852572,1,0
278,27,58683.22151943994,1,0
279,25,39062.24885865556,0,1
280,39,81143.33412226051,0,1
281,45,98920.61749511666,1,1
282,45,105948.9445855305,1,0
283,28,51058.72653825107,1,1
284,63,168306.1251888169,0,1
285,36,80811.42865777173,1,0
286,37,78533.97141136757,0,1
287,28,61026.289031155466,0,1
288,20,23761.018245013936,1,1
289,60,142103.73052248274,1,1
290,60,155608.61631586097,1,1
291,32,55611.70105315708,0,0
292,35,43974.4114602928,1,0
293,31,46418.82132986299,0,1
294,64,159346.10434468664,0,0
295,48,107113.3383507384,1,1
296,39,86915.68356337561,0,0
297,29,51757.5703544546,1,1
298,65,157681.3930887855,0,1
299,51,113191.61992299823,1,0
300,22,36061.10801801378,1,1
301,64,174304.95352008272,1,0
302,47,108831.66776850092,0,0
303,48,94802.32486722976,1,0
304,47,83185.92904670612,1,0
305,57,139680.2528575538,0,0
306,37,80246.12545386434,1,0
307,19,7771.535285677182,1,0
308,27,55927.762583470096,1,0
309,34,79209.32586227742,1,0
310,63,154953.45946630146,0,0
311,20,31029.534367308144,1,1
312,38,81825.07617517859,0,0
313,32,58921.06746733218,0,1
314,48,123281.88431392495,0,0
315,52,133952.2552957271,1,1
316,48,93864.6536319692,1,1
317,60,156910.30837268845,1,0
318,27,40789.460365065264,0,1
319,59,130331.98371414586,0,1
320,34,55689.39692591395,0,1
321,43,101405.56439731465,0,0
322,39,82966.85779361866,1,0
323,20,28295.32621579232,0,1
324,29,57668.10093097835,1,0
325,51,120476.76214402635,1,0
326,25,34822.93352513389,0,1
327,30,52940.11845783617,0,0
328,37,81130.3464964662,1,1
329,23,31064.695407534356,0,1
330,31,60488.47679732551,0,0
331,46,89777.1543878917,1,1
332,29,49693.2523819197,0,1
333,21,17235.754857891116,0,0
334,22,46009.90082025809,1,0
335,51,117177.39302138255,0,1
336,46,106039.51632089417,0,1
337,26,35108.24385644299,0,1
338,43,90745.16222591947,1,0
339,63,148948.35598458152,1,1
340,38,90420.51435619043,0,1
341,62,152550.08417831332,1,1
342,18,27320.556357549187,1,1
343,31,55571.705939169144,0,0
344,23,25456.626725814123,0,0
345,55,122522.29026285741,0,1
346,53,137683.5537359031,1,1
347,26,50744.725517514875,1,1
348,22,41285.66507316374,0,0
349,33,78121.16441506629,0,1
350,54,128760.56708398269,1,0
351,56,129982.51616694525,1,0
352,47,98311.06961956935,1,0
353,31,45944.6681414293,1,1
354,57,148111.04750852863,1,1
355,27,32794.052068310906,0,1
356,38,93292.35948996339,1,0
357,52,138177.7588394726,0,0
358,31,60120.57690950447,0,0
359,22,30318.33066034948,0,1
360,57,135233.76285836243,0,1
361,41,100543.88747329483,0,1
362,30,36991.24310838111,1,1
363,64,152327.2470761831,1,0
364,19,31793.250957257347,0,0
365,36,69121.56435570364,1,0
366,50,131918.77598318327,0,0
367,38,94604.9837032298,1,0
368,58,141748.7331263926,1,1
369,28,29276.26179454004,1,1
370,23,27519.646058541577,0,0
371,55,123765.05281647916,0,1
372,28,44083.238507964845,1,1
373,58,143749.4239361092,1,0
374,55,115764.91775887212,0,0
375,49,102188.70908414978,1,1
376,63,151703.22741296294,0,0
377,36,78064.6275972933,1,0
378,29,63339.01885137142,0,1
379,46,114831.51261726458,0,1
380,56,124546.58717893112,1,0
381,42,117517.77215830843,0,0
382,46,98036.95933318164,0,1
383,50,117105.72241057451,0,1
384,58,126532.53896860906,1,1
385,49,103590.4339281905,1,1
386,46,92388.88962646274,0,1
387,65,178817.78235498565,1,0
388,28,33946.11053704574,0,0
389,28,53434.15908424777,0,0
390,26,44270.93286405333,0,0
391,40,103219.7726508803,0,0
392,25,20271.499636606863,1,0
393,25,40344.090779718215,1,0
394,61,130568.69544440958,0,1
395,49,117458.71412427761,1,0
396,59,151223.3963726891,1,1
397,23,22957.811553487805,0,1
398,53,121422.63789820283,0,0
399,59,148797.5183884009,1,1
400,63,166364.17852495395,0,1
401,63,148806.29464871433,1,1
402,24,44464.99400117932,1,0
403,24,38134.46093110528,1,1
404,28,34934.61681148733,1,1
405,31,75323.68403594376,0,1
406,35,76500.27798435355,0,0
407,61,134362.40943556422,1,1
408,55,123190.42139490879,1,0
409,55,135142.0144581393,0,0
410,18,38523.11314236428,0,1
411,57,139955.16157235074,0,1
412,59,148109.7865174891,0,1
413,61,142989.75905529148,1,1
414,62,143386.37635616737,1,0
415,18,17823.93627780951,0,1
416,42,106802.96208900935,0,1
417,51,117097.64872550829,0,1
418,44,88762.74550552062,0,1
419,37,82791.94071069546,0,1
420,39,76246.16027215756,0,1
421,65,160726.99737993794,1,1
422,61,157701.12582707132,1,1
423,41,98957.92673463588,0,0
424,21,44266.6159728778,1,1
425,48,93585.21524861522,1,1
426,41,96697.34196859284,1,1
427,51,115840.78178979289,0,1
428,19,32831.30258744212,0,0
429,38,78162.60672216339,0,0
430,18,25485.286646854835,1,1
431,33,78416.71284062351,1,1
432,53,134725.38485325073,0,0
433,19,20386.07145959323,0,1
434,28,38473.86215820759,0,0
435,30,47723.084409136165,1,0
436,36,65829.82562886778,1,0
437,22,40822.81237479178,1,1
438,61,159771.19763635367,0,0
439,57,142791.39375930524,1,1
440,33,69161.11715387058,0,0
441,30,50919.348314467614,0,1
442,43,108915.36621317995,0,1
443,20,23180.27670233611,1,1
444,54,120720.04905312289,1,0
445,50,119600.73228075117,0,1
446,46,102448.48927291222,0,1
447,46,98289.34385901885,0,1
448,65,160002.14461654218,1,1
449,59,138200.09795710386,0,1
450,22,33779.92439790344,1,0
451,30,33846.31115197812,1,1
452,34,66082.45936372742,0,0
453,64,153855.35084162993,1,1
454,26,29206.871802256966,0,0
455,43,100067.23281926205,0,0
456,63,145031.84823690893,0,0
457,27,49200.97648912754,0,1
458,45,107226.72716649117,0,0
459,62,142713.60376352875,0,0
460,20,35769.243571372135,1,0
461,52,130612.3204661251,1,1
462,33,59378.566235428865,1,1
463,29,57975.83799252419,0,0
464,46,108126.66011153533,1,0
465,62,152182.3106051905,0,1
466,32,55772.69593880559,1,0
467,44,105505.46518701836,1,1
468,44,94317.88087343791,0,1
469,50,109250.08193579712,1,0
470,58,138386.50747269098,1,1
471,37,83932.40037114787,0,0
472,64,162505.40596605215,0,1
473,30,59831.925917699176,1,0
474,33,56198.471637585004,0,1
475,24,43685.388395239264,1,1
476,37,87217.61172449289,1,1
477,65,147250.87430102815,0,1
478,55,130414.25065108537,1,1
479,59,121957.10025131988,1,1
480,52,120773.58886370351,1,1
481,28,55236.309615632505,0,0
482,64,156137.6358037709,1,1
483,45,85257.67394561946,0,0
484,60,131168.30119565772,0,0
485,65,157164.95274661682,1,0
486,41,72628.65012751232,0,0
487,60,151416.41855223346,0,1
488,30,66938.81325386511,0,1
489,25,47157.4082515476,1,0
490,44,92852.17803862656,0,1
491,22,18088.028257078473,1,0
492,30,50428.87351890221,1,0
493,50,107814.59204191937,1,1
494,65,144137.0828107581,1,1
495,28,50976.58544731518,1,1
496,20,33307.21739896444,1,1
497,60,139870.6694472832,0,1
498,52,119188.10428942768,0,0
499,33,87929.13252782181,0,1
500,25,31495.50408784913,0,0
501,44,100052.49352035318,1,0
502,34,52466.702514828685,1,0
503,24,38120.75405149747,1,1
504,49,132974.66227419348,1,1
505,55,140290.37814962276,0,1
506,55,138486.85160403274,0,0
507,64,161814.31797551076,0,1
508,32,53100.69904948129,1,0
509,29,54251.102442317184,1,0
510,31,75789.17254445827,0,0
511,44,85786.40644786763,1,0
512,41,77657.40781075222,0,0
513,30,43863.62596660283,0,1
514,28,61693.38837149897,1,0
515,34,78944.35011185952,0,1
516,47,105328.78878573919,0,1
517,28,40135.71929565225,1,1
518,35,74291.07549997806,1,1
519,58,150627.44451892405,0,0
520,46,101619.8020850291,1,1
521,60,140610.1128729152,0,0
522,33,46416.915773202156,0,1
523,54,111678.34867629457,0,0
524,38,78422.7066401163,0,0
525,22,48656.901251045405,1,0
526,30,51258.70632152493,1,0
527,48,108161.1605463661,1,1
528,34,56452.96560838609,1,0
529,60,151517.38267185312,1,1
530,59,134548.2703465906,1,0
531,30,54988.48157505686,0,0
532,57,122050.0962286537,0,0
533,59,141803.93851954935,0,1
534,49,109955.52729226518,1,1
535,36,58823.51706295577,0,0
536,60,148518.2933528864,0,1
537,48,105417.59465786647,1,0
538,46,108493.54930464747,0,1
539,24,46912.168524862645,0,1
540,23,35886.04811604673,0,0
541,59,146679.55529837054,1,1
542,41,88317.66222156509,0,1
543,46,102964.08081451451,1,0
544,47,100395.5749409893,0,1
545,34,60735.63087356576,1,0
546,63,159712.37107762878,0,0
547,54,132812.32531013773,1,1
548,47,100213.668519722,0,1
549,38,66880.81704758608,0,0
550,34,66813.8794262436,1,1
551,31,55384.68400413348,0,0
552,38,92507.88118464578,0,0
553,55,130905.7825135807,0,0
554,21,33324.74601375163,0,1
555,29,49701.02040255291,1,1
556,18,9128.665715806172,1,0
557,29,49361.18546555604,0,0
558,54,116686.14804209227,0,0
559,65,152299.38511176797,1,1
560,20,25772.567811634042,1,0
561,39,89855.3824063077,1,1
562,25,35357.107317874674,0,1
563,32,67438.33801549501,1,1
564,36,84288.9018015063,1,1
565,59,127735.20973774431,0,1
566,49,111356.09524644435,1,1
567,62,157494.10592035312,0,1
568,44,103619.87236910278,1,0
569,31,58218.33300918193,0,0
570,25,39850.79610366523,0,0
571,29,53377.313617511776,1,1
572,62,158455.06821549838,0,1
573,41,93259.58325098491,0,0
574,42,98803.93960133013,0,0
575,50,116223.81623290194,1,1
576,36,66892.45623768003,0,0
577,47,90671.0970782187,1,0
578,61,142632.52789887498,1,0
579,40,90512.99701306692,1,0
580,34,79842.77174512755,0,0
581,60,158612.8139499285,1,1
582,39,70311.79627015773,1,1
583,33,58903.14013932844,0,0
584,64,140073.02346716588,0,0
585,47,103339.23809552129,1,0
586,59,150867.40378781006,0,1
587,51,127824.57414483675,1,1
588,20,22148.64815090144,0,0
589,56,144088.58104357863,0,1
590,60,138426.41323151713,0,1
591,41,67495.90562352224,0,0
592,53,122910.41272375963,0,1
593,27,47366.0215008957,0,0
594,31,52416.736088084916,0,1
595,57,137422.6491205389,1,1
596,43,86426.62887614103,0,0
597,65,174331.17669122317,0,0
598,37,65098.542477378665,1,1
599,63,162851.15901680783,1,1
600,55,130824.46395465346,1,1
601,25,41786.21203463659,1,1
602,26,43569.19505526713,0,0
603,28,47715.841778966984,0,1
604,59,155646.5812991172,1,1
605,24,29082.60780737913,1,1
606,56,129539.62474931855,0,0
607,42,91534.64101719925,1,1
608,36,67988.60788423756,1,0
609,33,51533.39729195417,0,0
610,59,147621.8550486024,0,0
611,18,20651.41856453119,1,1
612,29,55547.10168310963,1,1
613,32,76453.32690977873,1,0
614,55,123791.1208649162,0,0
615,50,105639.08396781013,0,0
616,51,123143.08769383094,1,1
617,20,21987.031210767374,1,1
618,33,67900.60927473247,0,0
619,43,86806.94702706441,1,1
620,58,134396.75676719352,1,0
621,18,22786.625648259254,0,0
622,19,31386.511626780084,1,1
623,32,39250.9971283221,1,0
624,26,54563.67425617562,0,0
625,52,106164.92189826495,1,0
626,43,105095.8108400361,0,0
627,50,116532.28438323231,0,0
628,39,71302.85349880335,0,1
629,53,139344.2185972058,0,1
630,57,149622.64151303656,1,1
631,53,109109.46168180837,0,1
632,19,21304.431552638795,1,0
633,18,-1801.0640119596646,0,0
634,21,32605.860284202667,0,1
635,25,46599.6037790447,0,1
636,32,65454.36019161071,0,0
637,31,54285.0645169044,0,1
638,65,154338.12542118403,0,0
639,41,69442.53693425842,0,1
640,24,48804.61214429148,0,0
641,61,142029.4816234719,1,0
642,39,87571.47767245954,0,1
643,54,130718.25946198498,1,1
644,62,152733.2000598979,1,1
645,23,47702.42643079987,0,1
646,61,161110.7496213766,1,0
647,49,105479.13246265906,1,1
648,58,133074.02993547794,1,1
649,26,46350.18111897786,1,1
650,53,126382.63753921412,0,1
651,23,39856.81857366262,0,1
652,58,137094.6825753586,0,1
653,57,134095.90393641705,0,0
654,49,123821.70077432426,0,0
655,36,63197.21640408609,1,0
656,52,127081.9556163269,1,1
657,49,108665.22822981437,1,0
658,38,104238.79030520978,0,0
659,59,148576.23448184482,0,0
660,38,70219.13544416009,0,1
661,56,125039.24940315039,0,0
662,35,69427.54129536364,0,0
663,32,47192.27969596906,1,1
664,31,61057.790887893825,0,1
665,19,24304.3014758026,0,0
666,41,97819.93290527695,0,0
667,37,60064.496359765726,0,0
668,55,139455.2664534076,0,0
669,57,142330.30353344462,1,0
670,25,62576.19310785318,1,0
671,38,69264.17166815669,0,0
672,32,69210.65561583501,1,1
673,46,88272.0420598175,0,1
674,23,45118.02257696062,0,1
675,21,35477.61179935918,0,1
676,57,127408.01694744569,0,1
677,52,123927.69879287889,1,1
678,52,134254.42020034883,1,0
679,38,74520.9030825619,0,1
680,21,191.28327670192812,0,0
681,60,145276.47216629726,1,0
682,40,103386.00594114308,1,0
683,62,151709.49689659823,1,0
684,31,66970.1681060443,0,1
685,31,64686.83583562517,1,0
686,62,153440.73127218263,0,0
687,49,114278.31488534763,1,1
688,59,131865.75355404604,1,0
689,22,14053.006885763898,1,0
690,65,171008.47523511507,1,0
691,43,104550.72488810965,0,0
692,43,93312.15860096802,1,0
693,56,131004.90683429553,0,1
694,41,88743.99379804086,0,0
695,41,79759.13461810652,1,1
696,35,54560.37891644823,0,0
697,35,64134.316427049984,0,1
698,21,41363.46580032875,1,1
699,53,117338.47572536183,0,0
700,39,84371.90165897604,0,0
701,41,84543.63872453618,0,1
702,65,168467.62069008918,0,1
703,43,88927.53210686459,1,0
704,35,85515.56616120879,0,1
705,45,95642.69107901002,1,0
706,25,33231.258304105686,1,0
707,29,55363.08420830338,1,0
708,55,140657.2808969741,1,1
709,19,28405.322501694784,0,1
710,24,34521.32464698683,1,1
711,37,68713.49569635381,0,1
712,26,65056.90758235396,0,1
713,39,89930.39111501286,1,0
714,45,93245.32521057033,1,0
715,30,63802.272069957675,0,0
716,25,52261.853018769674,0,1
717,57,129335.72605616196,1,1
718,25,27432.342334218694,1,1
719,33,83622.79199056205,1,1
720,27,59428.29172000362,0,1
721,42,90840.97603444972,1,1
722,58,135829.59399704097,1,1
723,64,169683.6407554439,0,1
724,56,126416.56474379619,0,1
725,33,67271.93001274997,0,0
726,64,142211.0312352645,0,1
727,62,142633.7783661388,0,1
728,36,66208.18723624111,1,1
729,57,126728.27138685947,1,1
730,38,85576.27686126808,1,0
731,48,115450.7083351467,0,1
732,24,28125.78604786403,0,1
733,33,60436.77766948404,1,0
734,51,114125.81648179647,1,1
735,26,38285.428267267285,0,0
736,28,56997.97084573061,0,1
737,25,32068.233853191614,1,1
738,64,162183.6664745793,0,1
739,31,57561.23652453456,0,1
740,37,83944.76804330098,0,0
741,27,58980.27369054464,0,0
742,56,139383.60632553473,0,1
743,47,116060.28915661188,0,0
744,36,76082.95218374251,1,0
745,48,110112.68377961169,0,1
746,54,139651.44440466052,1,0
747,34,70412.98355827035,0,0
748,49,115326.71538397827,0,0
749,40,74571.73684448465,1,1
750,37,72384.38752331217,0,1
751,21,25614.72875725496,1,0
752,25,35384.931625464495,0,0
753,39,84024.36751448004,1,0
754,34,60417.58595058539,0,1
755,48,124550.02638125644,1,0
756,33,67949.80515129247,1,0
757,41,80846.03947799419,1,1
758,18,13988.561977689315,1,1
759,43,99831.69246464674,1,0
760,54,128492.4238698053,0,0
761,55,127183.89832114721,1,0
762,21,22231.98289503292,0,1
763,18,15013.148164000702,0,1
764,18,21292.052409470405,0,0
765,22,38723.94178895809,1,0
766,47,99904.66458445227,1,1
767,56,136899.25949671355,0,1
768,36,93598.781576563,1,1
769,49,111397.84551311116,1,1
770,19,7919.150969664963,1,0
771,51,111272.76358893316,1,1
772,23,37955.82935186165,0,0
773,56,143798.63215530367,1,0
774,50,104479.2801530704,1,1
775,42,106148.44613646831,0,0
776,25,56864.790420526406,1,1
777,33,65192.659476971116,1,1
778,49,121086.34868782168,0,1
779,38,81045.51911810374,1,1
780,63,153945.54376968404,1,0
781,60,145403.83412302885,0,0
782,19,14125.67133825651,0,0
783,45,113110.45486775743,0,1
784,22,40990.86646641858,0,1
785,49,102117.04138706351,0,0
786,26,46016.40791505985,0,0
787,23,44248.436319078675,0,1
788,43,95141.0356444041,1,0
789,53,119578.55284077779,0,0
790,23,46756.83676602341,0,0
791,32,77740.91684367195,1,1
792,58,152458.20768383014,0,1
793,43,99505.9483891069,0,1
794,60,152713.0951907954,0,1
795,52,129486.74176128958,0,0
796,33,52215.571746980226,1,1
797,64,157464.27811755487,1,0
798,56,126257.0331445658,0,1
799,63,145461.41927311156,1,1
800,46,108395.86894103237,1,0
801,49,117548.44909039514,1,1
802,37,98935.8681267738,1,0
803,47,92218.6864333645,0,0
804,56,127221.87558807716,0,0
805,54,109224.87249096915,1,1
806,46,97036.63979049913,0,1
807,44,87782.33849357185,1,0
808,34,76629.57026467977,0,0
809,48,85430.9593931527,1,0
810,43,96424.41464159467,0,1
811,57,134818.75110173103,1,1
812,36,73496.76450771594,0,0
813,47,120593.75568060244,1,1
814,49,122047.34634001041,1,1
815,47,116814.13917062916,1,1
816,21,32738.78660446176,1,0
817,27,54446.73384200284,0,1
818,51,100121.5025792956,0,0
819,19,11441.80036586597,1,1
820,34,71738.05328375408,0,1
821,44,85378.96841407119,0,0
822,37,66741.7617091951,1,1
823,25,59678.25024320654,0,1
824,28,37971.90650041797,1,1
825,40,113618.7246639765,1,1
826,26,45345.99203461466,1,0
827,28,72590.14666872847,1,0
828,54,126929.09280445705,0,0
829,24,31533.485296470903,1,0
830,31,61300.202294362156,0,1
831,57,132944.82806120435,0,0
832,23,21651.16996258541,1,0
833,28,50774.1754901699,1,0
834,53,117494.85193038023,1,1
835,39,93062.03545579332,1,0
836,51,109879.18493396106,0,1
837,60,134361.83904457433,0,1
838,42,105621.87480008703,1,0
839,58,142158.98260842424,0,1
840,45,107626.74274571822,1,0
841,50,92766.43701980873,1,1
842,34,81300.88478847321,1,0
843,50,117331.23279023198,0,1
844,62,139425.00127590005,0,1
845,49,127958.40067186224,1,0
846,24,41585.59464157017,0,0
847,35,75385.72398497716,0,0
848,47,110031.58709656222,0,0
849,43,91846.32473453892,0,1
850,32,84577.65759848777,1,0
851,56,136555.41723266567,0,1
852,61,136405.0752494699,0,1
853,62,140254.7151632308,1,0
854,44,94005.8337517673,0,1
855,41,86537.36194097827,1,1
856,19,32723.334722330037,1,0
857,41,98526.98803703362,1,1
858,32,53855.09345061806,0,1
859,30,66304.04490926843,0,1
860,57,141164.48233034153,0,0
861,26,60804.51984162428,0,0
862,30,56729.31968424758,0,1
863,62,153494.45753606188,1,1
864,41,85095.79470878823,0,0
865,63,160066.38160639192,0,0
866,61,146067.0564825834,1,1
867,52,122670.14516746775,0,1
868,37,88997.99724810263,0,0
869,54,133773.5500806905,0,0
870,30,52415.838613874876,1,0
871,41,108068.55321422832,0,0
872,38,74970.8861217643,0,1
873,25,17102.28558134846,1,1
